,a,b,c,d,e,tess,Truth
128320,agency,personnel,numberlng,thousands,more.,numberlng,numbering
128327,are,"250,000",mus,1ntroduced,each,mus,bills
128328,"250,000",mus,1ntroduced,each,year,1ntroduced,introduced
128331,each,year,whlch,could,affect,whlch,which
128335,affect,our,busmess.,7,Tlmlng,busmess.,business.
128337,busmess.,7,Tlmlng,for,polltlcal,Tlmlng,Timing
128339,Tlmlng,for,polltlcal,actlon,at,polltlcal,political
128340,for,polltlcal,actlon,at,the,actlon,action
128347,15,measured,1n,"days,",not,1n,in
128358,the,case,1n,Congress.,To,1n,in
128364,these,challenges,cm,developed,a,cm,CMA
128367,developed,a,unlque,program,that,unlque,unique
128371,that,15,bull:,on,sound,bull:,built
128374,on,sound,managerlal,and,polltlcal,managerlal,managerial
128376,managerlal,and,polltlcal,prlnclples:,Set,polltlcal,political
128377,and,polltlcal,prlnclples:,Set,priorities,prlnclples:,principles:
128381,priorities,on,lssues,to,make,lssues,issues
128387,most,of,llmlted,resources.,Get,llmlted,limited
128390,resources.,Get,1nvolved,as,early,1nvolved,involved
128394,early,as,posslble,1n,the,posslble,possible
128395,as,posslble,1n,the,polltlcal,1n,in
128397,1n,the,polltlcal,process,to,polltlcal,political
128400,process,to,maxlmlze,effectlveness.,Develop,maxlmlze,maximize
128401,to,maxlmlze,effectlveness.,Develop,posltlon,effectlveness.,effectiveness.
128403,effectlveness.,Develop,posltlon,statements,and,posltlon,position
128406,statements,and,supportlng,arguments,before,supportlng,supporting
128410,before,the,lssue,surfaces.,to,lssue,issue
128411,the,lssue,surfaces.,to,keep,surfaces.,"surfaces,"
128415,keep,up,mm,the,fast,mm,with
128419,fast,track,polltlcal,Emphaslze,local,polltlcal,political
128420,track,polltlcal,Emphaslze,local,1nvolvement,Emphaslze,Emphasize
128422,Emphaslze,local,1nvolvement,for,early,1nvolvement,involvement
128427,alert,and,polltlcal,effectlveness.,Those,polltlcal,political
128428,and,polltlcal,effectlveness.,Those,on,effectlveness.,effectiveness.
128438,chance,of,knowlng,what's,developlng,knowlng,knowing
128440,knowlng,what's,developlng,and,polltlclans,developlng,developing
128442,developlng,and,polltlclans,llsten,best,polltlclans,politicians
128443,and,polltlclans,llsten,best,to,llsten,listen
128451,them.,To,1mplement,thls,"program,",1mplement,implement
128452,To,1mplement,thls,"program,",a,thls,this
128458,of,state,chemlcal,1ndustry,counclls,chemlcal,chemical
128459,state,chemlcal,1ndustry,counclls,and,1ndustry,industry
128460,chemlcal,1ndustry,counclls,and,trade,counclls,councils
128463,and,trade,assoclatlons,was,chosen,assoclatlons,associations
128471,cornerstone,of,CMA'S,Eleld,marketlng,CMA'S,CMA's
128472,of,CMA'S,Eleld,marketlng,force,Eleld,field
128473,CMA'S,Eleld,marketlng,force,to,marketlng,marketing
128478,sell,our,posltlons,on,prlorlty,posltlons,positions
128480,posltlons,on,prlorlty,lssues.,But,prlorlty,priority
128481,on,prlorlty,lssues.,But,1:,lssues.,issues.
128494,support,and,dlrectlon.,A5,Jim,dlrectlon.,direction.
128495,and,dlrectlon.,A5,Jim,Murray,A5,As
128501,last,"year,",actlvltles,were,planned,actlvltles,activities
128505,planned,to,cultlvate,that,network,cultlvate,cultivate
128509,network,by,maklng,CMA,a,maklng,making
128513,a,focal,polnt,of,1nfomatlon,polnt,point
128515,polnt,of,1nfomatlon,m,cm,1nfomatlon,information
128517,1nfomatlon,m,cm,means,gathered,cm,CMA
128522,from,the,collectlve,natlonal,resources,collectlve,collective
128523,the,collectlve,natlonal,resources,of,natlonal,national
128531,us,these,actlvltles,are,well,actlvltles,activities
128539,truly,turned,cm,1nto,a,cm,CMA
128540,turned,cm,1nto,a,"""Center",1nto,into
128547,for,state,lssues.,Member,company,lssues.,issues.
128554,state,trade,assoclatlons,are,routlnely,assoclatlons,associations
128556,assoclatlons,are,routlnely,turnlng,to,routlnely,routinely
128557,are,routlnely,turnlng,to,CMA,turnlng,turning
128561,CMA,for,advlce,and,guldance.,advlce,advice
128563,advlce,and,guldance.,Other,1ndustry,guldance.,guidance.
128565,guldance.,Other,1ndustry,trade,assoclatlons,1ndustry,industry
128567,1ndustry,trade,assoclatlons,llke,Amerlcan,assoclatlons,associations
128568,trade,assoclatlons,llke,Amerlcan,Petroleum,llke,like
128569,assoclatlons,llke,Amerlcan,Petroleum,Instltute,Amerlcan,American
128571,Amerlcan,Petroleum,Instltute,and,the,Instltute,Institute
128574,and,the,Natlonal,Agrlcultural,Chemlcal,Natlonal,National
128575,the,Natlonal,Agrlcultural,Chemlcal,Assoclatlon,Agrlcultural,Agricultural
128576,Natlonal,Agrlcultural,Chemlcal,Assoclatlon,are,Chemlcal,Chemical
128577,Agrlcultural,Chemlcal,Assoclatlon,are,contactlng,Assoclatlon,Association
128579,Assoclatlon,are,contactlng,cm,on,contactlng,contacting
128580,are,contactlng,cm,on,mutually,cm,CMA
128583,on,mutually,1mportant,state,lssues.,1mportant,important
128585,1mportant,state,lssues.,Assoclatlons,of,lssues.,issues.
128586,state,lssues.,Assoclatlons,of,elected,Assoclatlons,Associations
128589,of,elected,offlclals,llke,Natlonal,offlclals,officials
128590,elected,offlclals,llke,Natlonal,Governor's,llke,like
128591,offlclals,llke,Natlonal,Governor's,Assoclatlon.,Natlonal,National
128593,Natlonal,Governor's,Assoclatlon.,Natlonal,Conference,Assoclatlon.,"Association,"
128594,Governor's,Assoclatlon.,Natlonal,Conference,of,Natlonal,National
128598,of,State,"Leglslators,",Councll,of,"Leglslators,","Legislators,"
128599,State,"Leglslators,",Councll,of,State,Councll,Council
128606,even,the,Natlonal,Assoclatlon,of,Natlonal,National
128607,the,Natlonal,Assoclatlon,of,Towns,Assoclatlon,Association
128611,Towns,and,Townshlps,are,turnlng,Townshlps,Townships
128613,Townshlps,are,turnlng,m,cm,turnlng,turning
128615,turnlng,m,cm,for,1nput,cm,CMA
128617,cm,for,1nput,on,pollcy,1nput,input
128619,1nput,on,pollcy,"posltlons,",agenda,pollcy,policy
128620,on,pollcy,"posltlons,",agenda,1deas,"posltlons,","positions,"
128622,"posltlons,",agenda,1deas,and,speakers.,1deas,ideas
128630,success,are,"gratlfylng,",but,most,"gratlfylng,","gratifying,"
128633,but,most,"1mportantly,",the,"""cm","1mportantly,","importantly,"
128635,"1mportantly,",the,"""cm","approach""",has,"""cm","""CMA"
128642,produce,"""bottom",llne,"results""",for,llne,line
128646,for,member,companles.,Our,system,companles.,companies.
128652,severely,tested,thls,year,and,thls,this
128660,at,some,speclflc,results:,Let's,speclflc,specific
128668,last,"year,",communlty,rlghtitoiknow,was,communlty,community
128669,"year,",communlty,rlghtitoiknow,was,targeted,rlghtitoiknow,right-to-know
128673,targeted,for,prlorlty,coverage,for,prlorlty,priority
128678,the,then,upcomlng,1995,leglslatlve,upcomlng,upcoming
128680,upcomlng,1995,leglslatlve,sesslon.,Drawlng,leglslatlve,legislative
128681,1995,leglslatlve,sesslon.,Drawlng,on,sesslon.,session.
128682,leglslatlve,sesslon.,Drawlng,on,two,Drawlng,Drawing
128687,years,of,experlence,mm,thls,experlence,experience
128688,of,experlence,mm,thls,lssue,mm,with
128689,experlence,mm,thls,lssue,at,thls,this
128690,mm,thls,lssue,at,both,lssue,issue
128700,CMA,staff,efflclently,pulled,together,efflclently,efficiently
128706,wealth,of,1nformatlon...,posltlon,papers,1nformatlon...,information—
128707,of,1nformatlon...,posltlon,papers,mm,posltlon,position
128709,posltlon,papers,mm,backiup,"arguments,",mm,with
128710,papers,mm,backiup,"arguments,",Copies,backiup,back-up
128715,of,all,prevlous,state,laws,prevlous,previous
128719,laws,and,"regulatlons,",and,Copies,"regulatlons,","regulations,"
128723,Copies,of,testlmony,that,had,testlmony,testimony
128736,level.,In,"addltlon,",CMA,State,"addltlon,","addition,"
128739,CMA,State,Affalrs,Group,held,Affalrs,Affairs
128742,Group,held,reglonal,1nformatlon,semlnars,reglonal,regional
128743,held,reglonal,1nformatlon,semlnars,on,1nformatlon,information
128744,reglonal,1nformatlon,semlnars,on,the,semlnars,seminars
128753,of,the,CIC'S,network.,when,CIC'S,CIC's
128757,when,Bhopal,m:,1n,"December,",m:,hit
128758,Bhopal,m:,1n,"December,",the,1n,in
128763,CMA,State,Affalrs,organlzatlon,as,Affalrs,Affairs
128764,State,Affalrs,organlzatlon,as,a,organlzatlon,organization
128782,promptly,dumped,1nto,the,leglslatlve,1nto,into
128784,1nto,the,leglslatlve,"hopper,",when,leglslatlve,legislative
128790,dust,settled,thls,year,over,thls,this
128794,over,150,mm:,on,thls,mm:,bills
128796,mm:,on,thls,subject,had,thls,this
128800,had,been,1ntroduced,1n,40,1ntroduced,introduced
128801,been,1ntroduced,1n,40,states.,1n,in
128810,passed,some,rlghtitoiknow,provlslons.,State,rlghtitoiknow,right-to-know
128811,some,rlghtitoiknow,provlslons.,State,leglslators,provlslons.,provisions.
128813,provlslons.,State,leglslators,had,developed,leglslators,legislators
128826,"plants,",and,trled,to,move,trled,tried
128830,move,the,lssue,far,beyond,lssue,issue
128834,beyond,the,cm,posltlon.,Although,cm,CMA
128835,the,cm,posltlon.,Although,battles,posltlon.,position.
128839,battles,are,5:111,bemg,fought,5:111,still
128840,are,5:111,bemg,fought,1n,bemg,being
128842,bemg,fought,1n,"Callfornla,",New,1n,in
128843,fought,1n,"Callfornla,",New,Jersey,"Callfornla,","California,"
128847,Jersey,and,"Mlchlgan,",to,date,"Mlchlgan,","Michigan,"
128854,laws,passed,thls,year,are,thls,this
128858,are,generally,conslstent,Hlth,CMA,conslstent,consistent
128859,generally,conslstent,Hlth,CMA,pollcy.,Hlth,with
128861,Hlth,CMA,pollcy.,We,have,pollcy.,policy.
128864,We,have,retalned,our,trade,retalned,retained
128868,trade,secret,protectlon,rlghts,and,protectlon,protection
128869,secret,protectlon,rlghts,and,successfully,rlghts,rights
128872,and,successfully,avolded,costly,requlrements,avolded,avoided
128874,avolded,costly,requlrements,for,unlque,requlrements,requirements
128876,requlrements,for,unlque,"labellng,",envlronmental,unlque,unique
128877,for,unlque,"labellng,",envlronmental,emlsslon,"labellng,","labeling,"
128879,"labellng,",envlronmental,emlsslon,monltorlng,and,emlsslon,emission
128880,envlronmental,emlsslon,monltorlng,and,1ndependent,monltorlng,monitoring
128882,monltorlng,and,1ndependent,rlsk,management,1ndependent,independent
128883,and,1ndependent,rlsk,management,aud1t3.,rlsk,risk
128885,rlsk,management,aud1t3.,Publlc,compensatlon,aud1t3.,audit3.
128886,management,aud1t3.,Publlc,compensatlon,was,Publlc,Public
128887,aud1t3.,Publlc,compensatlon,was,another,compensatlon,compensation
128890,was,another,prlorlty,lssue,where,prlorlty,priority
128891,another,prlorlty,lssue,where,the,lssue,issue
128909,New,"Jersey,",Mlnnesota,and,Rhode,Mlnnesota,Minnesota
128913,Rhode,Island.,CMA'S,posltlon,was,CMA'S,CMA's
128914,Island.,CMA'S,posltlon,was,that,posltlon,position
128918,that,NO,admlnlstratlve,publlc,compensatlon,admlnlstratlve,administrative
128919,NO,admlnlstratlve,publlc,compensatlon,program,publlc,public
128920,admlnlstratlve,publlc,compensatlon,program,was,compensatlon,compensation
128925,needed,and,cm,039307,tort,cm,CMA
128926,and,cm,039307,tort,law,039307,038307
128934,changed.,The,cm,Pollcy,Commlttee's,cm,CMA
128935,The,cm,Pollcy,Commlttee's,marchlng,Pollcy,Policy
128936,cm,Pollcy,Commlttee's,marchlng,orders,Commlttee's,Committee's
128937,Pollcy,Commlttee's,marchlng,orders,to,marchlng,marching
128951,Pork,(1th,cm,staff,and,cm,CMA
128956,member,company,representatlves,helped,gulde,representatlves,representatives
128958,representatlves,helped,gulde,the,strategy,gulde,guide
128961,the,strategy,1n,these,states.,1n,in
128965,states.,The,mum?,study,results,mum?,UAREP
128969,results,were,effectlvely,used,1n,effectlvely,effectively
128971,effectlvely,used,1n,conjunctlon,mm,1n,in
128972,used,1n,conjunctlon,mm,expert,conjunctlon,conjunction
128973,1n,conjunctlon,mm,expert,testlmony,mm,with
128975,mm,expert,testlmony,provlded,by,testlmony,testimony
128976,expert,testlmony,provlded,by,personnel,provlded,provided
128982,Centers,for,Dlsease,Control.,academla.,Dlsease,Disease
128984,Dlsease,Control.,academla.,the,1n5urance,academla.,"academia,"
128986,academla.,the,1n5urance,"1ndustry,",the,1n5urance,insurance
128987,the,1n5urance,"1ndustry,",the,legal,"1ndustry,","industry,"
128990,the,legal,"professlon,",and,our,"professlon,","profession,"
128994,our,own,companles.,We,were,companles.,companies.
128998,were,successful,1n,four,of,1n,in
129002,of,the,Elva,states,and,Elva,five
129005,states,and,marglnally,successful,1n,marglnally,marginally
129007,marglnally,successful,1n,the,new.,1n,in
129009,1n,the,new.,only,Mlnnesota,new.,fifth.
129011,new.,only,Mlnnesota,passed,a,Mlnnesota,Minnesota
129014,passed,a,publlc,compensatlon,mu,publlc,public
129015,a,publlc,compensatlon,mu,whlch,compensatlon,compensation
129016,publlc,compensatlon,mu,whlch,establlshed,mu,bill
129017,compensatlon,mu,whlch,establlshed,an,whlch,which
129030,scope.,The,Situation,there,was,Situation,situation
129033,there,was,unlque,1n,that,unlque,unique
129034,was,unlque,1n,that,local,1n,in
129037,that,local,1ndustry,supported,the,1ndustry,industry
129040,supported,the,leglslatlon,because,1:,leglslatlon,legislation
129046,some,severe,1n5urablllty,problems,created,1n5urablllty,insurability
129051,by,an,earller,1993,Mlnnesota,earller,earlier
129052,an,earller,1993,Mlnnesota,Superfund,1993,1983
129053,earller,1993,Mlnnesota,Superfund,law.,Mlnnesota,Minnesota
129073,both,the,adoptlon,of,unacceptable,adoptlon,adoption
129080,and,the,1ncluslon,of,provlslons,1ncluslon,inclusion
129082,1ncluslon,of,provlslons,for,personal,provlslons,provisions
129085,for,personal,1njury,compensatlon.,State,1njury,injury
129086,personal,1njury,compensatlon.,State,Superfund,compensatlon.,compensation.
129092,were,held,Hlthln,reasonable,"11mm,",Hlthln,within
129094,Hlthln,reasonable,"11mm,",although,some,"11mm,","limits,"
129097,although,some,1ncreased,slgnlflcantly.,am,1ncreased,increased
129098,some,1ncreased,slgnlflcantly.,am,also,slgnlflcantly.,significantly.
129104,a,role,1n,preventlng,further,1n,in
129105,role,1n,preventlng,further,prollferatlon,preventlng,preventing
129107,preventlng,further,prollferatlon,of,unlque,prollferatlon,proliferation
129109,prollferatlon,of,unlque,state,regulatlons,unlque,unique
129111,unlque,state,regulatlons,of,toxlc,regulatlons,regulations
129113,regulatlons,of,toxlc,alr,contamlnants.,toxlc,toxic
129114,of,toxlc,alr,contamlnants.,As,alr,air
129115,toxlc,alr,contamlnants.,As,an,contamlnants.,contaminants.
129124,slowed,down,1n,thelr,effort,1n,in
129125,down,1n,thelr,effort,to,thelr,their
129131,450,compounds,1n,51x,months,1n,in
129132,compounds,1n,51x,months,by,51x,six
129135,months,by,shortcuttlng,good,sclence.,shortcuttlng,shortcutting
129137,shortcuttlng,good,sclence.,Reason,has,sclence.,science.
129140,Reason,has,prevalled,desplte,Massachusetts',prevalled,prevailed
129141,has,prevalled,desplte,Massachusetts',1mpat1ence,desplte,despite
129143,desplte,Massachusetts',1mpat1ence,Hlth,the,1mpat1ence,impatience
129144,Massachusetts',1mpat1ence,Hlth,the,federal,Hlth,with
129150,for,only,promulgatlng,regulatlons,for,promulgatlng,promulgating
129151,only,promulgatlng,regulatlons,for,51x,regulatlons,regulations
129153,regulatlons,for,51x,(57,hazardous,51x,six
129154,for,51x,(57,hazardous,pollutants,(57,(6)
129178,more,"""Good","Samarltan""",laws,brlnglng,"Samarltan""","Samaritan"""
129180,"Samarltan""",laws,brlnglng,the,total,brlnglng,bringing
129186,34,states.,cm,member,companles,cm,CMA
129188,cm,member,companles,took,the,companles,companies
129192,the,lead,1n,these,cases.,1n,in
129196,cases.,Our,preparatlon,over,the,preparatlon,preparation
129199,over,the,prevlous,three,years,prevlous,previous
129207,our,network,dellvered.,But,we,dellvered.,delivered.
129223,one,of,1ncreaslng,challenges.,Addltlonal,1ncreaslng,increasing
129225,1ncreaslng,challenges.,Addltlonal,releases,of,Addltlonal,Additional
129228,releases,of,toxlc,substances,Since,toxlc,toxic
129232,Since,Bhopal,contlnue,to,erode,contlnue,continue
129236,erode,our,prlvllege,of,selfiregulatlon.,prlvllege,privilege
129238,prlvllege,of,selfiregulatlon.,Instead,of,selfiregulatlon.,self-regulation.
129241,Instead,of,belng,1nnocent,untll,belng,being
129242,of,belng,1nnocent,untll,proven,1nnocent,innocent
129243,belng,1nnocent,untll,proven,"gullty,",untll,until
129245,untll,proven,"gullty,",1ndustry,now,"gullty,","guilty,"
129246,proven,"gullty,",1ndustry,now,can,1ndustry,industry
129252,forward,to,trylng,to,justlfy,trylng,trying
129254,trylng,to,justlfy,1:5,exlstence,justlfy,justify
129255,to,justlfy,1:5,exlstence,and,1:5,its
129256,justlfy,1:5,exlstence,and,1::,exlstence,existence
129258,exlstence,and,1::,Very,rlght,1::,its
129260,1::,Very,rlght,to,operate,rlght,right
129263,to,operate,1n,the,nelghborhood.,1n,in
129265,1n,the,nelghborhood.,cm,means,nelghborhood.,neighborhood.
129266,the,nelghborhood.,cm,means,Cur,cm,CMA
129276,that,our,operatlons,will,NOT,operatlons,operations
129285,burden,of,provlng,thls,klnd,provlng,proving
129286,of,provlng,thls,klnd,of,thls,this
129287,provlng,thls,klnd,of,negatlve,klnd,kind
129289,klnd,of,negatlve,15,llmlted,negatlve,negative
129291,negatlve,15,llmlted,only,by,llmlted,limited
129296,"reasonableness,",as,deflned,by,state,deflned,defined
129299,by,state,authorltles,whose,survlval,authorltles,authorities
129301,authorltles,whose,survlval,1n,offlce,survlval,survival
129302,whose,survlval,1n,offlce,depends,1n,in
129303,survlval,1n,offlce,depends,on,offlce,office
129306,depends,on,thelr,response,to,thelr,their
129309,response,to,polltlcal,wlnds.,At,polltlcal,political
129310,to,polltlcal,wlnds.,At,the,wlnds.,winds.
129316,tune,the,polltlcal,cllmate,15,polltlcal,political
129317,the,polltlcal,cllmate,15,pollcy,cllmate,climate
129319,cllmate,15,pollcy,15,turnlng,pollcy,policy
129321,pollcy,15,turnlng,the,"""spotllght""",turnlng,turning
129323,turnlng,the,"""spotllght""",on,state,"""spotllght""","""spotlight"""
129336,be,handled,prlmarlly,by,the,prlmarlly,primarily
129342,15,the,"deterloratlng,",federal,local,"deterloratlng,","deteriorating,"
129360,"""based",on,tradltlon,deeply,lngralned,tradltlon,tradition
129362,tradltlon,deeply,lngralned,1n,our,lngralned,ingrained
129363,deeply,lngralned,1n,our,legal,1n,in
129367,legal,and,1nst1tutlonal,hlstory.,The,1nst1tutlonal,institutional
129368,and,1nst1tutlonal,hlstory.,The,states,hlstory.,history.
129374,and,should,contlnue,to,have,contlnue,continue
129378,have,fundamental,responslblllty,for,protectlon,responslblllty,responsibility
129380,responslblllty,for,protectlon,and,management,protectlon,protection
129386,the,resource,"1tself..""",States,will,"1tself..""","itself.."""
129390,will,be,decldlng,when,and,decldlng,deciding
129395,how,much,1ndustry,pays,for,1ndustry,industry
129398,pays,for,multkmllmn,dollar,programs,multkmllmn,multi-million
129404,to:,7,Cleanlng,up,groundwater,Cleanlng,Cleaning
129408,groundwater,under,exlstlng,plant,sltes.,exlstlng,existing
129410,exlstlng,plant,sltes.,7,Provldlng,sltes.,sites.
129412,sltes.,7,Provldlng,alternatlve,sources,Provldlng,Providing
129413,7,Provldlng,alternatlve,sources,of,alternatlve,alternative
129416,sources,of,drlnklng,water,for,drlnklng,drinking
129420,for,the,publlc.,7,Requlrlng,publlc.,public.
129422,publlc.,7,Requlrlng,retroflt,capltal,Requlrlng,Requiring
129423,7,Requlrlng,retroflt,capltal,for,retroflt,retrofit
129424,Requlrlng,retroflt,capltal,for,exlstlng,capltal,capital
129426,capltal,for,exlstlng,facilities,to,exlstlng,existing
129432,better,groundwater,protectlon.,States,will,protectlon.,protection.
129435,States,will,malntaln,the,rlght,malntaln,maintain
129437,malntaln,the,rlght,to,ban,rlght,right
129445,sale,of,certaln,ehemlcal,products,certaln,certain
129446,of,certaln,ehemlcal,products,15,ehemlcal,ehemical
129455,story,15,slmllar,for,alr,slmllar,similar
129457,slmllar,for,alr,toxlc,control.,alr,air
129458,for,alr,toxlc,control.,on,toxlc,toxic
129467,announced,a,substantlally,new,approach,substantlally,substantially
129471,approach,for,reduclng,publlc,health,reduclng,reducing
129472,for,reduclng,publlc,health,rlsks,publlc,public
129474,publlc,health,rlsks,from,alrborne,rlsks,risks
129476,rlsks,from,alrborne,toxlc,pollutants.,alrborne,airborne
129477,from,alrborne,toxlc,pollutants.,Federal,toxlc,toxic
129482,standards,for,1nd1v1dual,contamlnants,will,1nd1v1dual,individual
129483,for,1nd1v1dual,contamlnants,will,no,contamlnants,contaminants
129489,be,the,prune,tactlc,for,prune,prime
129490,the,prune,tactlc,for,control,tactlc,tactic
129495,of,air,toxlcs.,EPA,plans,toxlcs.,toxics.
129499,plans,to,provlde,flnanclal,asslstance,provlde,provide
129500,to,provlde,flnanclal,asslstance,for,flnanclal,financial
129501,provlde,flnanclal,asslstance,for,strengthenlng,asslstance,assistance
129503,asslstance,for,strengthenlng,state,programs,strengthenlng,strengthening
129510,of,air,toxlcs,from,large,toxlcs,toxics
129513,from,large,polnt,sources,havlng,polnt,point
129515,polnt,sources,havlng,locallzed,1mpacts.,havlng,having
129516,sources,havlng,locallzed,1mpacts.,We,locallzed,localized
129517,havlng,locallzed,1mpacts.,We,Will,1mpacts.,impacts.
129526,issue,not,1n,"Washlngton,",but,1n,in
129527,not,1n,"Washlngton,",but,at,"Washlngton,","Washington,"
129532,the,numerous,locatlons,where,problems,locatlons,locations
129538,felt,to,exlst.,No,longer,exlst.,exist.
129545,have,to,Halt,for,v.5.,Halt,wait
129547,Halt,for,v.5.,EPA,to,v.5.,U.S.
129554,they,can,requlre,new,emlsslon,requlre,require
129556,requlre,new,emlsslon,controls,on,emlsslon,emission
129559,controls,on,"""toxlcs,""","Tens,",15,"""toxlcs,""","""toxics,"""
129563,15,not,hundreds.,of,mllllons,hundreds.,"hundreds,"
129565,hundreds.,of,mllllons,of,dollars,mllllons,millions
129569,dollars,for,addltlonal,emlsslon,controls,addltlonal,additional
129570,for,addltlonal,emlsslon,controls,are,emlsslon,emission
129582,priorities,for,1n,"January,",our,1n,in
129589,the,same,lssues,we,had,lssues,issues
129593,had,and,toxlc,air,contamlnant,toxlc,toxic
129595,toxlc,air,contamlnant,lssues,Will,contamlnant,contaminant
129596,air,contamlnant,lssues,Will,be,lssues,issues
129603,year.,In,"addltlon,",when,the,"addltlon,","addition,"
129607,the,bell,rlngs,Will,be,rlngs,rings
129619,last,year.,cm,039309,sumpmm,cm,CMA
129620,year.,cm,039309,sumpmm,Some,039309,038309
129621,cm,039309,sumpmm,Some,have,sumpmm,SUFEPFUMD
129624,Some,have,estlmated,that,by,estlmated,estimated
129643,more,abandoned,sltes,not,on,sltes,sites
129647,on,the,Natlonal,Prlorlty,L15:,Natlonal,National
129648,the,Natlonal,Prlorlty,L15:,and,Prlorlty,Priority
129649,Natlonal,Prlorlty,L15:,and,pay,L15:,List
129654,more,for,longitem,51:5,malntenance.,longitem,long-term
129655,for,longitem,51:5,malntenance.,nmavmimow,51:5,sits
129656,longitem,51:5,malntenance.,nmavmimow,Our,malntenance.,maintenance.
129657,51:5,malntenance.,nmavmimow,Our,opponents,nmavmimow,RIGHT-TO-KNOW
129670,thls,year,emlsslon,monltorlng,and,emlsslon,emission
129671,year,emlsslon,monltorlng,and,1ndependent,monltorlng,monitoring
129673,monltorlng,and,1ndependent,audlts,of,1ndependent,independent
129674,and,1ndependent,audlts,of,our,audlts,audits
129681,programs.,PUBLIC,commsnmu,Mlnnesota's,actlon,commsnmu,COMPENSATION
129682,PUBLIC,commsnmu,Mlnnesota's,actlon,thls,Mlnnesota's,Minnesota's
129683,commsnmu,Mlnnesota's,actlon,thls,year,actlon,action
129684,Mlnnesota's,actlon,thls,year,will,thls,this
129692,to,play,catchiup.,In,"addltlon,",catchiup.,catch-up.
129694,catchiup.,In,"addltlon,",plalntlff,lawyers,"addltlon,","addition,"
129695,In,"addltlon,",plalntlff,lawyers,Hill,plalntlff,plaintiff
129698,lawyers,Hill,contlnue,to,push,contlnue,continue
129705,"""burden",of,proof...,for,chronlc,proof...,proof”
129707,proof...,for,chronlc,health,cases.,chronlc,chronic
129710,health,cases.,Thelr,Carrot,1:,Thelr,Their
129711,cases.,Thelr,Carrot,1:,hundreds,Carrot,carrot
129715,hundreds,of,mllllons,of,dollars,mllllons,millions
129724,WASTE,DISPOSAL,pmcmcgs,The,push,pmcmcgs,PRACTICES
129730,phase,out,landfllls,and,deep,landfllls,landfills
129735,wells,will,contlnue.,HAZARDOUS,SUBSTANCE,contlnue.,continue.
129738,HAZARDOUS,SUBSTANCE,mmsponmuou,ISSUE,PostiBhopal,mmsponmuou,TRANSPORTATION
129740,mmsponmuou,ISSUE,PostiBhopal,analysls,of,PostiBhopal,Post-Bhopal
129741,ISSUE,PostiBhopal,analysls,of,rlsks,analysls,analysis
129743,analysls,of,rlsks,will,focus,rlsks,risks
129747,focus,on,transportatlon,of,hazardous,transportatlon,transportation
129750,of,hazardous,materlals.,Routlng,restrlctlons,materlals.,materials.
129751,hazardous,materlals.,Routlng,restrlctlons,and,Routlng,Routing
129752,materlals.,Routlng,restrlctlons,and,addltlonal,restrlctlons,restrictions
129754,restrlctlons,and,addltlonal,fees,will,addltlonal,additional
129758,will,be,consldered.,Cur,plannlng,consldered.,considered.
129760,consldered.,Cur,plannlng,conference,1n,plannlng,planning
129762,plannlng,conference,1n,June,identified,1n,in
129767,these,as,prlorlty,lssues,and,prlorlty,priority
129768,as,prlorlty,lssues,and,we,lssues,issues
129772,we,have,establlshed,some,speclflc,establlshed,established
129774,establlshed,some,speclflc,objectlves,m,speclflc,specific
129775,some,speclflc,objectlves,m,unprove,objectlves,objectives
129777,objectlves,m,unprove,our,effectlveness,unprove,improve
129779,unprove,our,effectlveness,1n,tackllng,effectlveness,effectiveness
129780,our,effectlveness,1n,tackllng,them:,1n,in
129781,effectlveness,1n,tackllng,them:,7,tackllng,tackling
129786,Expand,our,computerlzed,early,alert,computerlzed,computerized
129790,alert,and,1nformatlon,network,to,1nformatlon,information
129793,network,to,unprove,staff,productlvlty.,unprove,improve
129795,unprove,staff,productlvlty.,7,Setter,productlvlty.,productivity.
129800,use,of,publlc,relatlons,or,publlc,public
129801,of,publlc,relatlons,or,advocacy,relatlons,relations
129804,or,advocacy,communlcatlon,at,state,communlcatlon,communication
129809,level.,7,Establlsh,twoiway,"""electronlc",Establlsh,Establish
129810,7,Establlsh,twoiway,"""electronlc","mall""",twoiway,two-way
129811,Establlsh,twoiway,"""electronlc","mall""",capabllltles,"""electronlc","""electronic"
129812,twoiway,"""electronlc","mall""",capabllltles,Hlth,"mall""","mail"""
129813,"""electronlc","mall""",capabllltles,Hlth,key,capabllltles,capabilities
129814,"mall""",capabllltles,Hlth,key,chemlcal,Hlth,with
129816,Hlth,key,chemlcal,1ndustry,counclls,chemlcal,chemical
129817,key,chemlcal,1ndustry,counclls,to,1ndustry,industry
129818,chemlcal,1ndustry,counclls,to,better,counclls,councils
129822,better,meet,thelr,needs.,Our,thelr,their
129825,needs.,Our,actlon,plans,for,actlon,action
129830,next,year,remaln,conslstent,mm,remaln,remain
129831,year,remaln,conslstent,mm,the,conslstent,consistent
129832,remaln,conslstent,mm,the,orlglnal,mm,with
129834,mm,the,orlglnal,premlse,of,orlglnal,original
129835,the,orlglnal,premlse,of,the,premlse,premise
129840,CMA,State,Affalrs,Program.,"Baslcally,",Affalrs,Affairs
129842,Affalrs,Program.,"Baslcally,",we,target,"Baslcally,","Basically,"
129851,do,better.,cm,039310,Last,cm,CMA
